value,target,target_end_date,type,quantile,forecast_date,location
171.46170997619632,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51009
145.47310924530032,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51083
265.28843975067144,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51083
235.7101860046388,1 wk ahead inc case,2020-11-28,point,,2020-11-18,19007
414.61707305908203,2 wk ahead inc case,2020-12-05,point,,2020-11-18,19007
6598.609802246094,1 wk ahead inc case,2020-11-28,point,,2020-11-18,8041
11882.636535644531,2 wk ahead inc case,2020-12-05,point,,2020-11-18,8041
493.9347953796396,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13223
945.4237670898438,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13223
29.260496854782104,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48383
50.711617946624784,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48383
85.8645396232605,1 wk ahead inc case,2020-11-28,point,,2020-11-18,8097
154.7614665031433,2 wk ahead inc case,2020-12-05,point,,2020-11-18,8097
1927.950782775879,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48157
3634.45728302002,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48157
