forecast_date,target,location,target_end_date,type,quantile,value
2020-08-16,3 wk ahead inc death,34,2020-09-05,point,,45.044214192226804
2020-08-16,3 wk ahead inc death,06,2020-09-05,point,,1395.764894729
2020-08-16,3 wk ahead inc death,48,2020-09-05,point,,2546.4816699481
2020-08-16,3 wk ahead inc death,12,2020-09-05,point,,2032.46507816596
2020-08-16,3 wk ahead inc death,25,2020-09-05,point,,126.068771494243
2020-08-16,3 wk ahead inc death,17,2020-09-05,point,,121.034720919805
2020-08-16,3 wk ahead inc death,42,2020-09-05,point,,120.52177144968901
2020-08-16,3 wk ahead inc death,26,2020-09-05,point,,58.2119795392384
2020-08-16,3 wk ahead inc death,13,2020-09-05,point,,647.015464444069
2020-08-16,3 wk ahead inc death,04,2020-09-05,point,,547.469892193267
2020-08-16,3 wk ahead inc death,09,2020-09-05,point,,24.763485508628
2020-08-16,3 wk ahead inc death,22,2020-09-05,point,,399.204230533335
2020-08-16,3 wk ahead inc death,39,2020-09-05,point,,224.78115592424
2020-08-16,3 wk ahead inc death,24,2020-09-05,point,,97.0142626395899
2020-08-16,3 wk ahead inc death,18,2020-09-05,point,,68.0878520510205
2020-08-16,3 wk ahead inc death,51,2020-09-05,point,,226.88776450567104
2020-08-16,3 wk ahead inc death,37,2020-09-05,point,,306.018823157756
2020-08-16,3 wk ahead inc death,45,2020-09-05,point,,578.248454817094
2020-08-16,3 wk ahead inc death,28,2020-09-05,point,,348.148505991772
2020-08-16,3 wk ahead inc death,08,2020-09-05,point,,47.36114029552171
2020-08-16,3 wk ahead inc death,01,2020-09-05,point,,214.910352791648
2020-08-16,3 wk ahead inc death,53,2020-09-05,point,,153.53853785090402
2020-08-16,3 wk ahead inc death,27,2020-09-05,point,,70.1112474528792
2020-08-16,3 wk ahead inc death,47,2020-09-05,point,,197.319619881797
2020-08-16,3 wk ahead inc death,29,2020-09-05,point,,59.249779965774096
