,location,target,type,quantile,forecast_date,target_end_date,value
7331,42,3 wk ahead inc death,point,,2020-06-18,2020-07-11,555.1689999999999
7332,44,3 wk ahead inc death,point,,2020-06-18,2020-07-11,102.55259999999998
7333,45,3 wk ahead inc death,point,,2020-06-18,2020-07-11,211.15485
7334,46,3 wk ahead inc death,point,,2020-06-18,2020-07-11,48.115429999999996
7335,47,3 wk ahead inc death,point,,2020-06-18,2020-07-11,211.76485
7336,48,3 wk ahead inc death,point,,2020-06-18,2020-07-11,672.8227999999998
7337,49,3 wk ahead inc death,point,,2020-06-18,2020-07-11,60.910710000000016
7338,51,3 wk ahead inc death,point,,2020-06-18,2020-07-11,324.4971000000001
7339,50,3 wk ahead inc death,point,,2020-06-18,2020-07-11,1.1740920000000088
7340,53,3 wk ahead inc death,point,,2020-06-18,2020-07-11,162.22870000000015
7341,55,3 wk ahead inc death,point,,2020-06-18,2020-07-11,192.99364000000003
7342,54,3 wk ahead inc death,point,,2020-06-18,2020-07-11,39.533805
7343,56,3 wk ahead inc death,point,,2020-06-18,2020-07-11,5.470009000000001
9690,2,4 wk ahead cum death,point,,2020-06-18,2020-07-18,12.298563
9691,1,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1392.0719
9692,5,4 wk ahead cum death,point,,2020-06-18,2020-07-18,308.3084
9693,4,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1827.6399
9694,6,4 wk ahead cum death,point,,2020-06-18,2020-07-18,8975.803
9695,8,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1795.1066
9696,9,4 wk ahead cum death,point,,2020-06-18,2020-07-18,4522.721
9697,11,4 wk ahead cum death,point,,2020-06-18,2020-07-18,551.1509
9698,10,4 wk ahead cum death,point,,2020-06-18,2020-07-18,519.5104
9699,12,4 wk ahead cum death,point,,2020-06-18,2020-07-18,5022.0024
9700,13,4 wk ahead cum death,point,,2020-06-18,2020-07-18,3222.2344
9701,15,4 wk ahead cum death,point,,2020-06-18,2020-07-18,18.51691
9702,19,4 wk ahead cum death,point,,2020-06-18,2020-07-18,918.3877
9703,16,4 wk ahead cum death,point,,2020-06-18,2020-07-18,112.66419
9704,17,4 wk ahead cum death,point,,2020-06-18,2020-07-18,7363.763000000001
9705,18,4 wk ahead cum death,point,,2020-06-18,2020-07-18,2918.5083
9706,20,4 wk ahead cum death,point,,2020-06-18,2020-07-18,316.51196
9707,21,4 wk ahead cum death,point,,2020-06-18,2020-07-18,978.07635
9708,22,4 wk ahead cum death,point,,2020-06-18,2020-07-18,3405.701
9709,25,4 wk ahead cum death,point,,2020-06-18,2020-07-18,8358.25
9710,24,4 wk ahead cum death,point,,2020-06-18,2020-07-18,3905.0093
9711,23,4 wk ahead cum death,point,,2020-06-18,2020-07-18,151.4612
9712,26,4 wk ahead cum death,point,,2020-06-18,2020-07-18,7231.549
9713,27,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1912.9426
9714,29,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1578.4823
9715,28,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1541.3429999999994
9716,30,4 wk ahead cum death,point,,2020-06-18,2020-07-18,24.23879800000001
9717,37,4 wk ahead cum death,point,,2020-06-18,2020-07-18,1611.2217
9718,38,4 wk ahead cum death,point,,2020-06-18,2020-07-18,107.3088
9719,31,4 wk ahead cum death,point,,2020-06-18,2020-07-18,362.16473
9720,33,4 wk ahead cum death,point,,2020-06-18,2020-07-18,534.35583
9721,34,4 wk ahead cum death,point,,2020-06-18,2020-07-18,13426.656
9722,35,4 wk ahead cum death,point,,2020-06-18,2020-07-18,599.65344
9723,32,4 wk ahead cum death,point,,2020-06-18,2020-07-18,605.4805
9724,36,4 wk ahead cum death,point,,2020-06-18,2020-07-18,31076.123
9725,39,4 wk ahead cum death,point,,2020-06-18,2020-07-18,3742.9028
9726,40,4 wk ahead cum death,point,,2020-06-18,2020-07-18,506.69376
9727,41,4 wk ahead cum death,point,,2020-06-18,2020-07-18,239.5331
9728,42,4 wk ahead cum death,point,,2020-06-18,2020-07-18,7059.746
9729,44,4 wk ahead cum death,point,,2020-06-18,2020-07-18,983.7953
9730,45,4 wk ahead cum death,point,,2020-06-18,2020-07-18,917.4595
9731,46,4 wk ahead cum death,point,,2020-06-18,2020-07-18,149.90225
9732,47,4 wk ahead cum death,point,,2020-06-18,2020-07-18,784.8284
9733,48,4 wk ahead cum death,point,,2020-06-18,2020-07-18,3025.402
