forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,8 wk ahead inc death,2021-02-13,,point,18,796.0648290961676
2020-12-21,1 wk ahead cum death,2020-12-26,,point,18,7935.156559813467
2020-12-21,2 wk ahead cum death,2021-01-02,,point,18,8557.349935588336
2020-12-21,3 wk ahead cum death,2021-01-09,,point,18,9205.62983890055
2020-12-21,4 wk ahead cum death,2021-01-16,,point,18,9881.089992289517
2020-12-21,5 wk ahead cum death,2021-01-23,,point,18,10584.869974493464
2020-12-21,6 wk ahead cum death,2021-01-30,,point,18,11318.157143049455
2020-12-21,7 wk ahead cum death,2021-02-06,,point,18,12082.188637501702
2020-12-21,8 wk ahead cum death,2021-02-13,,point,18,12878.253466597871
2020-12-21,1 wk ahead inc death,2020-12-26,,point,19,258.19461145824073
2020-12-21,2 wk ahead inc death,2021-01-02,,point,19,284.0949872299163
2020-12-21,3 wk ahead inc death,2021-01-09,,point,19,312.5935173988709
2020-12-21,4 wk ahead inc death,2021-01-16,,point,19,343.95083163054323
2020-12-21,5 wk ahead inc death,2021-01-23,,point,19,378.4537042346534
2020-12-21,6 wk ahead inc death,2021-01-30,,point,19,416.4176768230023
2020-12-21,7 wk ahead inc death,2021-02-06,,point,19,458.1899440549556
2020-12-21,8 wk ahead inc death,2021-02-13,,point,19,504.1525288618259
2020-12-21,1 wk ahead cum death,2020-12-26,,point,19,3790.194611458241
2020-12-21,2 wk ahead cum death,2021-01-02,,point,19,4074.2895986881567
2020-12-21,3 wk ahead cum death,2021-01-09,,point,19,4386.883116087029
2020-12-21,4 wk ahead cum death,2021-01-16,,point,19,4730.8339477175705
2020-12-21,5 wk ahead cum death,2021-01-23,,point,19,5109.287651952225
2020-12-21,6 wk ahead cum death,2021-01-30,,point,19,5525.705328775227
2020-12-21,7 wk ahead cum death,2021-02-06,,point,19,5983.895272830183
2020-12-21,8 wk ahead cum death,2021-02-13,,point,19,6488.047801692008
2020-12-21,1 wk ahead inc death,2020-12-26,,point,20,226.6910443240176
2020-12-21,2 wk ahead inc death,2021-01-02,,point,20,253.24586123807785
2020-12-21,3 wk ahead inc death,2021-01-09,,point,20,282.91133611148564
2020-12-21,4 wk ahead inc death,2021-01-16,,point,20,316.05185454597097
2020-12-21,5 wk ahead inc death,2021-01-23,,point,20,353.0744866391095
2020-12-21,6 wk ahead inc death,2021-01-30,,point,20,394.43398708909723
2020-12-21,7 wk ahead inc death,2021-02-06,,point,20,440.63838101682006
2020-12-21,8 wk ahead inc death,2021-02-13,,point,20,492.2552041167428
2020-12-21,1 wk ahead cum death,2020-12-26,,point,20,2567.6910443240176
2020-12-21,2 wk ahead cum death,2021-01-02,,point,20,2820.9369055620955
2020-12-21,3 wk ahead cum death,2021-01-09,,point,20,3103.848241673581
2020-12-21,4 wk ahead cum death,2021-01-16,,point,20,3419.9000962195532
2020-12-21,5 wk ahead cum death,2021-01-23,,point,20,3772.9745828586615
2020-12-21,6 wk ahead cum death,2021-01-30,,point,20,4167.408569947758
2020-12-21,7 wk ahead cum death,2021-02-06,,point,20,4608.046950964579
2020-12-21,8 wk ahead cum death,2021-02-13,,point,20,5100.302155081321
2020-12-21,1 wk ahead inc death,2020-12-26,,point,21,130.58258784319406
2020-12-21,2 wk ahead inc death,2021-01-02,,point,21,137.92642990102863
2020-12-21,3 wk ahead inc death,2021-01-09,,point,21,145.68328273664918
2020-12-21,4 wk ahead inc death,2021-01-16,,point,21,153.87637368817408
2020-12-21,5 wk ahead inc death,2021-01-23,,point,21,162.53023637739597
2020-12-21,6 wk ahead inc death,2021-01-30,,point,21,171.67078417394757
2020-12-21,7 wk ahead inc death,2021-02-06,,point,21,181.32538779102367
2020-12-21,8 wk ahead inc death,2021-02-13,,point,21,191.52295724501457
2020-12-21,1 wk ahead cum death,2020-12-26,,point,21,2501.5825878431947
2020-12-21,2 wk ahead cum death,2021-01-02,,point,21,2639.5090177442225
2020-12-21,3 wk ahead cum death,2021-01-09,,point,21,2785.1923004808727
2020-12-21,4 wk ahead cum death,2021-01-16,,point,21,2939.068674169046
2020-12-21,5 wk ahead cum death,2021-01-23,,point,21,3101.5989105464423
2020-12-21,6 wk ahead cum death,2021-01-30,,point,21,3273.269694720389
2020-12-21,7 wk ahead cum death,2021-02-06,,point,21,3454.595082511413
2020-12-21,8 wk ahead cum death,2021-02-13,,point,21,3646.118039756428
2020-12-21,1 wk ahead inc death,2020-12-26,,point,22,359.15199322367323
2020-12-21,2 wk ahead inc death,2021-01-02,,point,22,474.32600404011635
2020-12-21,3 wk ahead inc death,2021-01-09,,point,22,626.4343853120332
2020-12-21,4 wk ahead inc death,2021-01-16,,point,22,827.3213691823607
2020-12-21,5 wk ahead inc death,2021-01-23,,point,22,1092.6294340704774
2020-12-21,6 wk ahead inc death,2021-01-30,,point,22,1443.0173384461702
2020-12-21,7 wk ahead inc death,2021-02-06,,point,22,1905.768757573082
2020-12-21,8 wk ahead inc death,2021-02-13,,point,22,2516.9167830322085
2020-12-21,1 wk ahead cum death,2020-12-26,,point,22,7353.151993223673
2020-12-21,2 wk ahead cum death,2021-01-02,,point,22,7827.477997263792
2020-12-21,3 wk ahead cum death,2021-01-09,,point,22,8453.912382575823
2020-12-21,4 wk ahead cum death,2021-01-16,,point,22,9281.233751758184
2020-12-21,5 wk ahead cum death,2021-01-23,,point,22,10373.863185828659
2020-12-21,6 wk ahead cum death,2021-01-30,,point,22,11816.880524274831
